"date","epop","unemp","employment","labor_force","idled","population"
2018-01-01,0.625706323767893,0.0305584502447084,26108345.8216718,26931325.3885829,0,41726197.7862905
2018-02-01,0.626361793047766,0.0306396231896932,26158286.9098587,26985100.2120934,0,41762264.5573209
2018-03-01,0.626155673942131,0.0306884896476981,26172299.8694687,27000917.2386246,0,41798391.2925262
2018-04-01,0.626626984075219,0.0307437670015011,26214971.156306,27046481.8938611,0,41835049.9140956
2018-05-01,0.627319507155536,0.030492144798626,26266627.6368014,27092743.4944255,0,41871211.3001277
2018-06-01,0.627617183315043,0.0304851233181304,26301285.0948868,27128294.498071,0,41906572.6594111
2018-07-01,0.628046980057592,0.0302424422065061,26341175.152317,27162639.7140452,0,41941408.8256607
2018-08-01,0.62860160041108,0.0300209795400258,26385709.407299,27202350.6186625,0,41975250.1267001
2018-09-01,0.629045747765917,0.0294550936462868,26426092.4318835,27228098.6267446,0,42009810.1381925
2018-10-01,0.629501670984381,0.0292976880197114,26467076.5033264,27265904.4659449,0,42044489.6705971
2018-11-01,0.630064400860486,0.0290728022275409,26512178.75221,27306041.9082247,0,42078521.9987068
2018-12-01,0.631011521257315,0.028794457822583,26572602.9780553,27360431.7768618,0,42111121.719471
2019-01-01,0.631694433118059,0.0288909385303386,26612269.2474086,27403996.4235675,0,42128389.6963437
2019-02-01,0.632390605398512,0.0283749597403511,26652152.1854642,27430491.2709351,0,42145079.256307
2019-03-01,0.633234276111002,0.0277760320370657,26697925.9287109,27460674.503479,0,42161214.1602249
2019-04-01,0.633786775270396,0.0272386706405598,26730962.5083707,27479466.6498235,0,42176586.1191508
2019-05-01,0.633626879271701,0.027327872517337,26732963.0158323,27484043.4515368,0,42190386.6303139
2019-06-01,0.633919985452749,0.0272713276686345,26753269.9408887,27503322.0484479,0,42202912.9146029
2019-07-01,0.634513874589088,0.0271341909657039,26784471.601092,27531517.0420876,0,42212586.1604487
2019-08-01,0.635034958948236,0.0268375103435139,26811583.2056427,27550982.9967931,0,42220641.2857157
2019-09-01,0.63586429412474,0.0266620003135666,26850390.9782931,27585885.8761737,0,42226605.9383825
2019-10-01,0.636304945952794,0.0265348296633521,26872061.79474,27604543.6586571,0,42231420.5879733
2019-11-01,0.636706657422287,0.0262603643060102,26891255.6890564,27616474.3667755,0,42234921.4910456
2019-12-01,0.636784095875622,0.025724396016506,26896391.3140424,27606553.22177,0,42237850.2984721
2020-01-01,0.637066730453285,0.0253789920884383,26912431.5245946,27613227.4044278,0,42244289.7079964
2020-02-01,0.637164805976335,0.0252125899260485,26919587.6823591,27615854.9076017,0,42249018.5111682
2020-03-01,0.636988205984798,0.0258811281038186,26913981.8342946,27629052.8915685,0,42251931.1683095
2020-04-01,0.630353500836691,0.0343250541334834,26633933.7507604,27580640.7370974,0,42252376.9843559
2020-05-01,0.625302017207787,0.0412666231776309,26419440.6546694,27556608.8480555,0,42250688.3515943
2020-06-01,0.621344562264458,0.0465532897068586,26250150.9563166,27531849.1038119,0,42247333.5256195
2020-07-01,0.617805264133399,0.0514268438942915,26098269.6397324,27513185.9590848,0,42243520.9844653
2020-08-01,0.615185666852629,0.0554712477383148,25984179.0546506,27510204.4193268,0,42237946.1270434
2020-09-01,0.611879173315203,0.0589237624637454,25838491.4794718,27456321.2297414,0,42228094.3792826
2020-10-01,0.609384858538692,0.0613702984495164,25726204.7255732,27408257.6793353,0,42216678.6146685
2020-11-01,0.60651671414775,0.0642125735261743,25597579.8275261,27354054.0333837,0,42204244.7148298
2020-12-01,0.603681421955288,0.0672934629120173,25468618.9111849,27306143.892484,0,42188839.982343
2021-01-01,0.600958730481333,0.0696675178593685,25344246.8860397,27242139.0981903,0,42173023.8709412
2021-02-01,0.598637892522394,0.0723147982532953,25235618.0004667,27202781.6687724,0,42155062.878053
2021-03-01,0.597113759646674,0.0734294293184511,25158616.6050262,27152401.987601,0,42133707.6873144
