cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
1980,0.74931896,0.34562771,0.368851788,0.263345878,0.25199722,0.143312788,0.528596406
2002,0.9739287,0.289473684,0.324561404,0.41176471,0.27941176,0.32509211,1.391348778
2003,1.367434,0.111111111,0.277777778,0.1875,0.15625,0.230779468,0.152018569
2005,0.5025014,0.35483871,0.467741935,0.20588236,0.20588236,0.232294102,0.776112962
2011,0.7761707,0.242857143,0.3,0.30434781,0.17391305,0.333667807,0.810241959
2012,0.9339648,0.34375,0.421875,0.20588236,0.17647059,0.188733868,0.622950411
2013,1.119216,0.270833333,0.354166667,0.07692308,0.07692308,0.145673322,-0.150906925
2015,0.5272448,0.394736842,0.447368421,0.16666667,0.16666667,0.288475144,0.875038228
2016,0.4652255,0.392857143,0.375,0.25,0.15000001,0.25761255,0.700477024
2025,0.375881732,0.429587496,0.426293339,0.391403742,0.275414187,0.247112851,1.292666704
2040,1.282559,0.333333333,0.238095238,0.071428575,0.071428575,0.294758525,0.309856303
2050,1.210922,0.439393939,0.454545455,0.31578946,0.2631579,0.224633138,1.471086128
2100,1.328783,0.425,0.475,0.38636363,0.31818181,0.180254646,1.605885787
2105,1.462973,0.517241379,0.448275862,0.52631581,0.31578946,0.0738565,1.634624847
2110,1.446431361,0.457083417,0.300561373,0.307766015,0.204715405,0.102872978,0.718947428
2145,1.292055,0.525,0.45,0.5,0.41666666,0.057122679,1.675112554
2170,1.279954,0.571428571,0.553571429,0.47058824,0.32352942,0.06741062,1.770614845
2205,1.042264414,0.477739885,0.451932905,0.327776055,0.25890222,0.313190029,1.799198183
2300,0.09888925,0.228418685,0.307316737,0.071665099,0.071665099,0.184015882,-0.62182813
2310,1.006592987,0.322216958,0.320113085,0.126874398,0.126874398,0.199273253,0.207154631
2320,1.118744102,0.333333333,0.340565529,0.229710934,0.215472549,0.193081509,0.646507274
2330,0.652031158,0.331934503,0.288841073,0.163227613,0.157653103,0.200299864,0.144856495
2350,1.32533,0.542857143,0.371428571,0.21565291,0.20823313,0.30828474,1.557864351
2360,0.255790096,0.36259678,0.20919252,0.087603674,0.050853336,0.250195975,-0.28442783
2400,0.389625975,0.393843405,0.400862152,0.276191839,0.245161448,0.254030392,0.944152619
2435,1.482842013,0.535087719,0.5,0.59795916,0.59795916,0.271095618,3.16945577
2440,0.037965,0.567307692,0.528846154,0.35714287,0.17142858,0.324248896,1.633651636
2545,1.111356,0.53030303,0.363636364,0.34999999,0.27500001,0.265425886,1.643423181
2555,1.279465455,0.482064922,0.525558546,0.440834365,0.424965476,0.317988884,2.594821635
2600,0.659987223,0.48520312,0.417620201,0.234566817,0.149026632,0.221698953,0.880299515
2631,0.867039,0.465517241,0.413793103,0.35294119,0.2647059,0.215850527,1.332986132
2632,0.5801539,0.390625,0.375,0.125,0.1,0.294959007,0.560728599
2633,-0.2718452,0.2,0.266666667,0.0625,0.0625,0.197548904,-0.89369535
2634,0.7156958,0.5,0.410714286,0.15625,0.15625,0.230593142,0.825691335
2635,1.12168,0.5,0.362068966,0.33333334,0.30000001,0.21028827,1.410004193
2636,-1.001413,0.304878049,0.268292683,0.079999998,0.039999999,0.170794775,-1.101860121
2640,-0.0519323,0.391304348,0.358695652,0.16666667,0.11111111,0.246232465,0.191287617
2700,0.1590935,0.1875,0.15625,0.052631579,0,0.154657111,-1.261319413
2710,0.938756515,0.469585379,0.436988543,0.242739583,0.168106219,0.174555868,0.886503166
2721,-1.814336,0,0,0,0,0.221703519,-2.581813956
2722,0.1168668,0.3,0.144444444,0.19642857,0.10714286,0.17509436,-0.558626115
2723,-0.0325617,0.3125,0.166666667,0.03125,0,0.087071045,-1.365945938
2740,-2.369327074,0.089651721,0.077301841,0.02590644,0.02590644,0.112323608,-2.779908212
2751,0.88296341,0.710526316,0.280701754,0.216666501,0.199999844,0.13912515,0.882033962
2752,-0.004005797,0.408163265,0.132653061,0.116666585,0.016666656,0.098461025,-1.023261619
